True
0
ApproxNeuraLCBV2-net has 961 parameters.
True
0
ApproxNeuraLCBV2-net has 961 parameters.
start
start
True
0
RuLSIF starting...
Searching for the optimal sigma and lambda...
sigma = 0.00100, lambda = 0.00100, score = 0.43049
sigma = 0.00100, lambda = 0.01000, score = 0.00117
sigma = 0.00100, lambda = 0.10000, score = -0.00045
sigma = 0.00100, lambda = 1.00000, score = -0.00005
sigma = 0.00100, lambda = 10.00000, score = -0.00001
sigma = 0.00100, lambda = 100.00000, score = -0.00000
sigma = 0.00100, lambda = 1000.00000, score = -0.00000
sigma = 0.00100, lambda = 10000.00000, score = -0.00000
sigma = 0.00100, lambda = 100000.00000, score = -0.00000
sigma = 0.00100, lambda = 1000000.00000, score = -0.00000
sigma = 0.00100, lambda = 10000000.00000, score = -0.00000
sigma = 0.00100, lambda = 100000000.00000, score = -0.00000
sigma = 0.00100, lambda = 1000000000.00000, score = -0.00000
sigma = 0.01000, lambda = 0.00100, score = 0.43049
sigma = 0.01000, lambda = 0.01000, score = 0.00117
sigma = 0.01000, lambda = 0.10000, score = -0.00045
sigma = 0.01000, lambda = 1.00000, score = -0.00005
sigma = 0.01000, lambda = 10.00000, score = -0.00001
sigma = 0.01000, lambda = 100.00000, score = -0.00000
sigma = 0.01000, lambda = 1000.00000, score = -0.00000
sigma = 0.01000, lambda = 10000.00000, score = -0.00000
sigma = 0.01000, lambda = 100000.00000, score = -0.00000
sigma = 0.01000, lambda = 1000000.00000, score = -0.00000
sigma = 0.01000, lambda = 10000000.00000, score = -0.00000
sigma = 0.01000, lambda = 100000000.00000, score = -0.00000
sigma = 0.01000, lambda = 1000000000.00000, score = -0.00000
sigma = 0.10000, lambda = 0.00100, score = 0.24959
sigma = 0.10000, lambda = 0.01000, score = -0.07734
sigma = 0.10000, lambda = 0.10000, score = -0.00932
sigma = 0.10000, lambda = 1.00000, score = -0.00095
sigma = 0.10000, lambda = 10.00000, score = -0.00010
sigma = 0.10000, lambda = 100.00000, score = -0.00001
sigma = 0.10000, lambda = 1000.00000, score = -0.00000
sigma = 0.10000, lambda = 10000.00000, score = -0.00000
sigma = 0.10000, lambda = 100000.00000, score = -0.00000
sigma = 0.10000, lambda = 1000000.00000, score = -0.00000
sigma = 0.10000, lambda = 10000000.00000, score = -0.00000
sigma = 0.10000, lambda = 100000000.00000, score = -0.00000
sigma = 0.10000, lambda = 1000000000.00000, score = -0.00000
sigma = 1.00000, lambda = 0.00100, score = 78.56651
sigma = 1.00000, lambda = 0.01000, score = 3.60285
sigma = 1.00000, lambda = 0.10000, score = -0.43307
sigma = 1.00000, lambda = 1.00000, score = -0.48745
sigma = 1.00000, lambda = 10.00000, score = -0.46011
sigma = 1.00000, lambda = 100.00000, score = -0.19909
sigma = 1.00000, lambda = 1000.00000, score = -0.02792
