True
0
ApproxNeuraLCBV2-net has 801 parameters.
True
0
ApproxNeuraLCBV2-net has 801 parameters.
start
True
0
RuLSIF starting...
Searching for the optimal sigma and lambda...
sigma = 0.00100, lambda = 0.00100, score = -0.00000
sigma = 0.00100, lambda = 0.01000, score = -0.00000
sigma = 0.00100, lambda = 0.10000, score = 0.00000
sigma = 0.00100, lambda = 1.00000, score = 0.00000
sigma = 0.00100, lambda = 10.00000, score = 0.00000
sigma = 0.00100, lambda = 100.00000, score = 0.00000
sigma = 0.00100, lambda = 1000.00000, score = 0.00000
sigma = 0.00100, lambda = 10000.00000, score = -0.00000
sigma = 0.00100, lambda = 100000.00000, score = 0.00000
sigma = 0.00100, lambda = 1000000.00000, score = 0.00000
sigma = 0.00100, lambda = 10000000.00000, score = 0.00000
sigma = 0.00100, lambda = 100000000.00000, score = 0.00000
sigma = 0.00100, lambda = 1000000000.00000, score = 0.00000
sigma = 0.01000, lambda = 0.00100, score = 0.00001
sigma = 0.01000, lambda = 0.01000, score = 0.00000
sigma = 0.01000, lambda = 0.10000, score = 0.00000
sigma = 0.01000, lambda = 1.00000, score = 0.00000
sigma = 0.01000, lambda = 10.00000, score = 0.00000
sigma = 0.01000, lambda = 100.00000, score = 0.00000
sigma = 0.01000, lambda = 1000.00000, score = 0.00000
sigma = 0.01000, lambda = 10000.00000, score = 0.00000
sigma = 0.01000, lambda = 100000.00000, score = 0.00000
sigma = 0.01000, lambda = 1000000.00000, score = 0.00000
sigma = 0.01000, lambda = 10000000.00000, score = 0.00000
sigma = 0.01000, lambda = 100000000.00000, score = 0.00000
sigma = 0.01000, lambda = 1000000000.00000, score = 0.00000
sigma = 0.10000, lambda = 0.00100, score = 11.33025
sigma = 0.10000, lambda = 0.01000, score = -0.01125
sigma = 0.10000, lambda = 0.10000, score = -0.01392
sigma = 0.10000, lambda = 1.00000, score = -0.00153
sigma = 0.10000, lambda = 10.00000, score = -0.00015
sigma = 0.10000, lambda = 100.00000, score = -0.00002
sigma = 0.10000, lambda = 1000.00000, score = -0.00000
sigma = 0.10000, lambda = 10000.00000, score = -0.00000
sigma = 0.10000, lambda = 100000.00000, score = -0.00000
sigma = 0.10000, lambda = 1000000.00000, score = -0.00000
sigma = 0.10000, lambda = 10000000.00000, score = -0.00000
sigma = 0.10000, lambda = 100000000.00000, score = -0.00000
sigma = 0.10000, lambda = 1000000000.00000, score = -0.00000
sigma = 1.00000, lambda = 0.00100, score = 383.39114
sigma = 1.00000, lambda = 0.01000, score = 11.85184
sigma = 1.00000, lambda = 0.10000, score = -0.18051
sigma = 1.00000, lambda = 1.00000, score = -0.55250
sigma = 1.00000, lambda = 10.00000, score = -0.42886
sigma = 1.00000, lambda = 100.00000, score = -0.11431
sigma = 1.00000, lambda = 1000.00000, score = -0.01347
sigma = 1.00000, lambda = 10000.00000, score = -0.00137
sigma = 1.00000, lambda = 100000.00000, score = -0.00014
sigma = 1.00000, lambda = 1000000.00000, score = -0.00001
sigma = 1.00000, lambda = 10000000.00000, score = -0.00000
sigma = 1.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 10.00000, lambda = 0.00100, score = 228.45847
sigma = 10.00000, lambda = 0.01000, score = 3.68979
sigma = 10.00000, lambda = 0.10000, score = -0.49927
sigma = 10.00000, lambda = 1.00000, score = -0.50032
sigma = 10.00000, lambda = 10.00000, score = -0.49434
sigma = 10.00000, lambda = 100.00000, score = -0.35755
sigma = 10.00000, lambda = 1000.00000, score = -0.07760
sigma = 10.00000, lambda = 10000.00000, score = -0.00869
sigma = 10.00000, lambda = 100000.00000, score = -0.00088
sigma = 10.00000, lambda = 1000000.00000, score = -0.00009
sigma = 10.00000, lambda = 10000000.00000, score = -0.00001
sigma = 10.00000, lambda = 100000000.00000, score = -0.00000
sigma = 10.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 100.00000, lambda = 0.00100, score = -0.49780
sigma = 100.00000, lambda = 0.01000, score = -0.49995
sigma = 100.00000, lambda = 0.10000, score = -0.49993
sigma = 100.00000, lambda = 1.00000, score = -0.49977
sigma = 100.00000, lambda = 10.00000, score = -0.49408
sigma = 100.00000, lambda = 100.00000, score = -0.36016
sigma = 100.00000, lambda = 1000.00000, score = -0.07907
sigma = 100.00000, lambda = 10000.00000, score = -0.00888
sigma = 100.00000, lambda = 100000.00000, score = -0.00090
sigma = 100.00000, lambda = 1000000.00000, score = -0.00009
sigma = 100.00000, lambda = 10000000.00000, score = -0.00001
sigma = 100.00000, lambda = 100000000.00000, score = -0.00000
sigma = 100.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 1000.00000, lambda = 0.00100, score = -0.49994
sigma = 1000.00000, lambda = 0.01000, score = -0.49994
sigma = 1000.00000, lambda = 0.10000, score = -0.49993
sigma = 1000.00000, lambda = 1.00000, score = -0.49977
sigma = 1000.00000, lambda = 10.00000, score = -0.49408
sigma = 1000.00000, lambda = 100.00000, score = -0.36019
sigma = 1000.00000, lambda = 1000.00000, score = -0.07909
sigma = 1000.00000, lambda = 10000.00000, score = -0.00888
sigma = 1000.00000, lambda = 100000.00000, score = -0.00090
sigma = 1000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 1000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 1000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 10000.00000, lambda = 0.00100, score = -0.49994
sigma = 10000.00000, lambda = 0.01000, score = -0.49994
sigma = 10000.00000, lambda = 0.10000, score = -0.49993
sigma = 10000.00000, lambda = 1.00000, score = -0.49977
sigma = 10000.00000, lambda = 10.00000, score = -0.49408
sigma = 10000.00000, lambda = 100.00000, score = -0.36019
sigma = 10000.00000, lambda = 1000.00000, score = -0.07909
sigma = 10000.00000, lambda = 10000.00000, score = -0.00888
sigma = 10000.00000, lambda = 100000.00000, score = -0.00090
sigma = 10000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 10000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 10000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 10000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 100000.00000, lambda = 0.00100, score = -0.49994
sigma = 100000.00000, lambda = 0.01000, score = -0.49994
sigma = 100000.00000, lambda = 0.10000, score = -0.49993
sigma = 100000.00000, lambda = 1.00000, score = -0.49977
sigma = 100000.00000, lambda = 10.00000, score = -0.49408
sigma = 100000.00000, lambda = 100.00000, score = -0.36019
sigma = 100000.00000, lambda = 1000.00000, score = -0.07909
sigma = 100000.00000, lambda = 10000.00000, score = -0.00888
sigma = 100000.00000, lambda = 100000.00000, score = -0.00090
sigma = 100000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 100000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 100000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 100000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 1000000.00000, lambda = 0.00100, score = -0.49994
sigma = 1000000.00000, lambda = 0.01000, score = -0.49994
sigma = 1000000.00000, lambda = 0.10000, score = -0.49993
sigma = 1000000.00000, lambda = 1.00000, score = -0.49977
sigma = 1000000.00000, lambda = 10.00000, score = -0.49408
sigma = 1000000.00000, lambda = 100.00000, score = -0.36019
sigma = 1000000.00000, lambda = 1000.00000, score = -0.07909
sigma = 1000000.00000, lambda = 10000.00000, score = -0.00888
sigma = 1000000.00000, lambda = 100000.00000, score = -0.00090
sigma = 1000000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 1000000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 1000000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1000000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 10000000.00000, lambda = 0.00100, score = -0.49994
sigma = 10000000.00000, lambda = 0.01000, score = -0.49994
sigma = 10000000.00000, lambda = 0.10000, score = -0.49993
sigma = 10000000.00000, lambda = 1.00000, score = -0.49977
sigma = 10000000.00000, lambda = 10.00000, score = -0.49408
sigma = 10000000.00000, lambda = 100.00000, score = -0.36019
sigma = 10000000.00000, lambda = 1000.00000, score = -0.07909
sigma = 10000000.00000, lambda = 10000.00000, score = -0.00888
sigma = 10000000.00000, lambda = 100000.00000, score = -0.00090
sigma = 10000000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 10000000.00000, lambda = 10000000.00000, score = -0.00001True
0
RuLSIF starting...
Searching for the optimal sigma and lambda...
sigma = 0.00100, lambda = 0.00100, score = -0.00000
sigma = 0.00100, lambda = 0.01000, score = -0.00000
sigma = 0.00100, lambda = 0.10000, score = 0.00000
sigma = 0.00100, lambda = 1.00000, score = 0.00000
sigma = 0.00100, lambda = 10.00000, score = 0.00000
sigma = 0.00100, lambda = 100.00000, score = 0.00000
sigma = 0.00100, lambda = 1000.00000, score = 0.00000
sigma = 0.00100, lambda = 10000.00000, score = -0.00000
sigma = 0.00100, lambda = 100000.00000, score = 0.00000
sigma = 0.00100, lambda = 1000000.00000, score = 0.00000
sigma = 0.00100, lambda = 10000000.00000, score = 0.00000
sigma = 0.00100, lambda = 100000000.00000, score = 0.00000
sigma = 0.00100, lambda = 1000000000.00000, score = 0.00000
sigma = 0.01000, lambda = 0.00100, score = -0.00000
sigma = 0.01000, lambda = 0.01000, score = -0.00000
sigma = 0.01000, lambda = 0.10000, score = -0.00000
sigma = 0.01000, lambda = 1.00000, score = -0.00000
sigma = 0.01000, lambda = 10.00000, score = -0.00000
sigma = 0.01000, lambda = 100.00000, score = -0.00000
sigma = 0.01000, lambda = 1000.00000, score = -0.00000
sigma = 0.01000, lambda = 10000.00000, score = -0.00000
sigma = 0.01000, lambda = 100000.00000, score = -0.00000
sigma = 0.01000, lambda = 1000000.00000, score = -0.00000
sigma = 0.01000, lambda = 10000000.00000, score = -0.00000
sigma = 0.01000, lambda = 100000000.00000, score = -0.00000
sigma = 0.01000, lambda = 1000000000.00000, score = -0.00000
sigma = 0.10000, lambda = 0.00100, score = 3.44406
sigma = 0.10000, lambda = 0.01000, score = -0.04806
sigma = 0.10000, lambda = 0.10000, score = -0.01207
sigma = 0.10000, lambda = 1.00000, score = -0.00131
sigma = 0.10000, lambda = 10.00000, score = -0.00013
sigma = 0.10000, lambda = 100.00000, score = -0.00001
sigma = 0.10000, lambda = 1000.00000, score = -0.00000
sigma = 0.10000, lambda = 10000.00000, score = -0.00000
sigma = 0.10000, lambda = 100000.00000, score = -0.00000
sigma = 0.10000, lambda = 1000000.00000, score = -0.00000
sigma = 0.10000, lambda = 10000000.00000, score = -0.00000
sigma = 0.10000, lambda = 100000000.00000, score = -0.00000
sigma = 0.10000, lambda = 1000000000.00000, score = -0.00000
sigma = 1.00000, lambda = 0.00100, score = 272.83656
sigma = 1.00000, lambda = 0.01000, score = 9.83233
sigma = 1.00000, lambda = 0.10000, score = -0.39445
sigma = 1.00000, lambda = 1.00000, score = -0.51295
sigma = 1.00000, lambda = 10.00000, score = -0.39650
sigma = 1.00000, lambda = 100.00000, score = -0.10356
sigma = 1.00000, lambda = 1000.00000, score = -0.01212
sigma = 1.00000, lambda = 10000.00000, score = -0.00123
sigma = 1.00000, lambda = 100000.00000, score = -0.00012
sigma = 1.00000, lambda = 1000000.00000, score = -0.00001
sigma = 1.00000, lambda = 10000000.00000, score = -0.00000
sigma = 1.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 10.00000, lambda = 0.00100, score = 232.04542
sigma = 10.00000, lambda = 0.01000, score = 3.26176
sigma = 10.00000, lambda = 0.10000, score = -0.49881
sigma = 10.00000, lambda = 1.00000, score = -0.49982
sigma = 10.00000, lambda = 10.00000, score = -0.49388
sigma = 10.00000, lambda = 100.00000, score = -0.35719
sigma = 10.00000, lambda = 1000.00000, score = -0.07751
sigma = 10.00000, lambda = 10000.00000, score = -0.00868
sigma = 10.00000, lambda = 100000.00000, score = -0.00088
sigma = 10.00000, lambda = 1000000.00000, score = -0.00009
sigma = 10.00000, lambda = 10000000.00000, score = -0.00001
sigma = 10.00000, lambda = 100000000.00000, score = -0.00000
sigma = 10.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 100.00000, lambda = 0.00100, score = -0.49801
sigma = 100.00000, lambda = 0.01000, score = -0.49994
sigma = 100.00000, lambda = 0.10000, score = -0.49993
sigma = 100.00000, lambda = 1.00000, score = -0.49977
sigma = 100.00000, lambda = 10.00000, score = -0.49408
sigma = 100.00000, lambda = 100.00000, score = -0.36016
sigma = 100.00000, lambda = 1000.00000, score = -0.07907
sigma = 100.00000, lambda = 10000.00000, score = -0.00888
sigma = 100.00000, lambda = 100000.00000, score = -0.00090
sigma = 100.00000, lambda = 1000000.00000, score = -0.00009
sigma = 100.00000, lambda = 10000000.00000, score = -0.00001
