True
0
ApproxNeuraLCBV2-net has 861 parameters.
start
True
0
RuLSIF starting...
Searching for the optimal sigma and lambda...
sigma = 0.00100, lambda = 0.00100, score = 0.00000
sigma = 0.00100, lambda = 0.01000, score = 0.00000
sigma = 0.00100, lambda = 0.10000, score = 0.00000
sigma = 0.00100, lambda = 1.00000, score = 0.00000
sigma = 0.00100, lambda = 10.00000, score = 0.00000
sigma = 0.00100, lambda = 100.00000, score = 0.00000
sigma = 0.00100, lambda = 1000.00000, score = 0.00000
sigma = 0.00100, lambda = 10000.00000, score = 0.00000
sigma = 0.00100, lambda = 100000.00000, score = 0.00000
sigma = 0.00100, lambda = 1000000.00000, score = 0.00000
sigma = 0.00100, lambda = 10000000.00000, score = 0.00000
sigma = 0.00100, lambda = 100000000.00000, score = 0.00000
sigma = 0.00100, lambda = 1000000000.00000, score = 0.00000
sigma = 0.01000, lambda = 0.00100, score = 0.00000
sigma = 0.01000, lambda = 0.01000, score = 0.00000
sigma = 0.01000, lambda = 0.10000, score = 0.00000
sigma = 0.01000, lambda = 1.00000, score = 0.00000
sigma = 0.01000, lambda = 10.00000, score = 0.00000
sigma = 0.01000, lambda = 100.00000, score = 0.00000
sigma = 0.01000, lambda = 1000.00000, score = 0.00000
sigma = 0.01000, lambda = 10000.00000, score = 0.00000
sigma = 0.01000, lambda = 100000.00000, score = 0.00000
sigma = 0.01000, lambda = 1000000.00000, score = 0.00000
sigma = 0.01000, lambda = 10000000.00000, score = 0.00000
sigma = 0.01000, lambda = 100000000.00000, score = 0.00000
sigma = 0.01000, lambda = 1000000000.00000, score = 0.00000
sigma = 0.10000, lambda = 0.00100, score = 0.18696
sigma = 0.10000, lambda = 0.01000, score = -0.03458
sigma = 0.10000, lambda = 0.10000, score = -0.00419
sigma = 0.10000, lambda = 1.00000, score = -0.00043
sigma = 0.10000, lambda = 10.00000, score = -0.00004
sigma = 0.10000, lambda = 100.00000, score = -0.00000
sigma = 0.10000, lambda = 1000.00000, score = -0.00000
sigma = 0.10000, lambda = 10000.00000, score = -0.00000
sigma = 0.10000, lambda = 100000.00000, score = -0.00000
sigma = 0.10000, lambda = 1000000.00000, score = -0.00000
sigma = 0.10000, lambda = 10000000.00000, score = -0.00000
sigma = 0.10000, lambda = 100000000.00000, score = -0.00000
sigma = 0.10000, lambda = 1000000000.00000, score = -0.00000
sigma = 1.00000, lambda = 0.00100, score = 66.54596
sigma = 1.00000, lambda = 0.01000, score = 3.15160
sigma = 1.00000, lambda = 0.10000, score = -0.40908
sigma = 1.00000, lambda = 1.00000, score = -0.47230
sigma = 1.00000, lambda = 10.00000, score = -0.34365
sigma = 1.00000, lambda = 100.00000, score = -0.07445
sigma = 1.00000, lambda = 1000.00000, score = -0.00833
sigma = 1.00000, lambda = 10000.00000, score = -0.00084
sigma = 1.00000, lambda = 100000.00000, score = -0.00008
sigma = 1.00000, lambda = 1000000.00000, score = -0.00001
sigma = 1.00000, lambda = 10000000.00000, score = -0.00000
sigma = 1.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 10.00000, lambda = 0.00100, score = 40.53133
sigma = 10.00000, lambda = 0.01000, score = 0.06119
sigma = 10.00000, lambda = 0.10000, score = -0.49974
sigma = 10.00000, lambda = 1.00000, score = -0.49963
sigma = 10.00000, lambda = 10.00000, score = -0.49481
sigma = 10.00000, lambda = 100.00000, score = -0.37016
sigma = 10.00000, lambda = 1000.00000, score = -0.08450
sigma = 10.00000, lambda = 10000.00000, score = -0.00957
sigma = 10.00000, lambda = 100000.00000, score = -0.00097
sigma = 10.00000, lambda = 1000000.00000, score = -0.00010
sigma = 10.00000, lambda = 10000000.00000, score = -0.00001
sigma = 10.00000, lambda = 100000000.00000, score = -0.00000
sigma = 10.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 100.00000, lambda = 0.00100, score = -0.49996
sigma = 100.00000, lambda = 0.01000, score = -0.49996
sigma = 100.00000, lambda = 0.10000, score = -0.49995
sigma = 100.00000, lambda = 1.00000, score = -0.49983
sigma = 100.00000, lambda = 10.00000, score = -0.49521
sigma = 100.00000, lambda = 100.00000, score = -0.37391
sigma = 100.00000, lambda = 1000.00000, score = -0.08669
sigma = 100.00000, lambda = 10000.00000, score = -0.00985
sigma = 100.00000, lambda = 100000.00000, score = -0.00100
sigma = 100.00000, lambda = 1000000.00000, score = -0.00010
sigma = 100.00000, lambda = 10000000.00000, score = -0.00001
sigma = 100.00000, lambda = 100000000.00000, score = -0.00000
sigma = 100.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 1000.00000, lambda = 0.00100, score = -0.49997
sigma = 1000.00000, lambda = 0.01000, score = -0.49996
sigma = 1000.00000, lambda = 0.10000, score = -0.49996
sigma = 1000.00000, lambda = 1.00000, score = -0.49984
sigma = 1000.00000, lambda = 10.00000, score = -0.49522
sigma = 1000.00000, lambda = 100.00000, score = -0.37395
sigma = 1000.00000, lambda = 1000.00000, score = -0.08671
sigma = 1000.00000, lambda = 10000.00000, score = -0.00985
sigma = 1000.00000, lambda = 100000.00000, score = -0.00100
sigma = 1000.00000, lambda = 1000000.00000, score = -0.00010
sigma = 1000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 1000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 10000.00000, lambda = 0.00100, score = -0.49997
sigma = 10000.00000, lambda = 0.01000, score = -0.49996
sigma = 10000.00000, lambda = 0.10000, score = -0.49996
sigma = 10000.00000, lambda = 1.00000, score = -0.49984
sigma = 10000.00000, lambda = 10.00000, score = -0.49522
sigma = 10000.00000, lambda = 100.00000, score = -0.37395
sigma = 10000.00000, lambda = 1000.00000, score = -0.08671
sigma = 10000.00000, lambda = 10000.00000, score = -0.00985
sigma = 10000.00000, lambda = 100000.00000, score = -0.00100
sigma = 10000.00000, lambda = 1000000.00000, score = -0.00010
sigma = 10000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 10000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 10000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 100000.00000, lambda = 0.00100, score = -0.49997
sigma = 100000.00000, lambda = 0.01000, score = -0.49996
sigma = 100000.00000, lambda = 0.10000, score = -0.49996
sigma = 100000.00000, lambda = 1.00000, score = -0.49984
sigma = 100000.00000, lambda = 10.00000, score = -0.49522
sigma = 100000.00000, lambda = 100.00000, score = -0.37395
sigma = 100000.00000, lambda = 1000.00000, score = -0.08671
sigma = 100000.00000, lambda = 10000.00000, score = -0.00985
sigma = 100000.00000, lambda = 100000.00000, score = -0.00100
sigma = 100000.00000, lambda = 1000000.00000, score = -0.00010
sigma = 100000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 100000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 100000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 1000000.00000, lambda = 0.00100, score = -0.49997
sigma = 1000000.00000, lambda = 0.01000, score = -0.49996
sigma = 1000000.00000, lambda = 0.10000, score = -0.49996
sigma = 1000000.00000, lambda = 1.00000, score = -0.49984
sigma = 1000000.00000, lambda = 10.00000, score = -0.49522
sigma = 1000000.00000, lambda = 100.00000, score = -0.37395
sigma = 1000000.00000, lambda = 1000.00000, score = -0.08671
sigma = 1000000.00000, lambda = 10000.00000, score = -0.00985
sigma = 1000000.00000, lambda = 100000.00000, score = -0.00100
sigma = 1000000.00000, lambda = 1000000.00000, score = -0.00010
sigma = 1000000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 1000000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1000000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 10000000.00000, lambda = 0.00100, score = -0.49997
sigma = 10000000.00000, lambda = 0.01000, score = -0.49996
sigma = 10000000.00000, lambda = 0.10000, score = -0.49996
sigma = 10000000.00000, lambda = 1.00000, score = -0.49984
sigma = 10000000.00000, lambda = 10.00000, score = -0.49522
sigma = 10000000.00000, lambda = 100.00000, score = -0.37395
sigma = 10000000.00000, lambda = 1000.00000, score = -0.08671
sigma = 10000000.00000, lambda = 10000.00000, score = -0.00985
sigma = 10000000.00000, lambda = 100000.00000, score = -0.00100
sigma = 10000000.00000, lambda = 1000000.00000, score = -0.00010
sigma = 10000000.00000, lambda = 10000000.00000, score = -0.00001True
0
RuLSIF starting...
Searching for the optimal sigma and lambda...
sigma = 0.00100, lambda = 0.00100, score = 0.00000
sigma = 0.00100, lambda = 0.01000, score = 0.00000
sigma = 0.00100, lambda = 0.10000, score = 0.00000
sigma = 0.00100, lambda = 1.00000, score = 0.00000
sigma = 0.00100, lambda = 10.00000, score = 0.00000
sigma = 0.00100, lambda = 100.00000, score = 0.00000
sigma = 0.00100, lambda = 1000.00000, score = 0.00000
sigma = 0.00100, lambda = 10000.00000, score = 0.00000
sigma = 0.00100, lambda = 100000.00000, score = 0.00000
sigma = 0.00100, lambda = 1000000.00000, score = 0.00000
sigma = 0.00100, lambda = 10000000.00000, score = 0.00000
sigma = 0.00100, lambda = 100000000.00000, score = 0.00000
sigma = 0.00100, lambda = 1000000000.00000, score = 0.00000
sigma = 0.01000, lambda = 0.00100, score = -0.00000
sigma = 0.01000, lambda = 0.01000, score = -0.00000
sigma = 0.01000, lambda = 0.10000, score = -0.00000
sigma = 0.01000, lambda = 1.00000, score = -0.00000
sigma = 0.01000, lambda = 10.00000, score = -0.00000
sigma = 0.01000, lambda = 100.00000, score = -0.00000
sigma = 0.01000, lambda = 1000.00000, score = -0.00000
sigma = 0.01000, lambda = 10000.00000, score = -0.00000
sigma = 0.01000, lambda = 100000.00000, score = -0.00000
sigma = 0.01000, lambda = 1000000.00000, score = -0.00000
sigma = 0.01000, lambda = 10000000.00000, score = -0.00000
sigma = 0.01000, lambda = 100000000.00000, score = -0.00000
sigma = 0.01000, lambda = 1000000000.00000, score = -0.00000
sigma = 0.10000, lambda = 0.00100, score = -0.17928
sigma = 0.10000, lambda = 0.01000, score = -0.02432
sigma = 0.10000, lambda = 0.10000, score = -0.00251
sigma = 0.10000, lambda = 1.00000, score = -0.00025
sigma = 0.10000, lambda = 10.00000, score = -0.00003
sigma = 0.10000, lambda = 100.00000, score = -0.00000
sigma = 0.10000, lambda = 1000.00000, score = -0.00000
sigma = 0.10000, lambda = 10000.00000, score = -0.00000
sigma = 0.10000, lambda = 100000.00000, score = -0.00000
sigma = 0.10000, lambda = 1000000.00000, score = -0.00000
sigma = 0.10000, lambda = 10000000.00000, score = -0.00000
sigma = 0.10000, lambda = 100000000.00000, score = -0.00000
sigma = 0.10000, lambda = 1000000000.00000, score = -0.00000
sigma = 1.00000, lambda = 0.00100, score = 68.42886
sigma = 1.00000, lambda = 0.01000, score = 2.52179
sigma = 1.00000, lambda = 0.10000, score = -0.44193
sigma = 1.00000, lambda = 1.00000, score = -0.48600
sigma = 1.00000, lambda = 10.00000, score = -0.35001
sigma = 1.00000, lambda = 100.00000, score = -0.07651
sigma = 1.00000, lambda = 1000.00000, score = -0.00858
sigma = 1.00000, lambda = 10000.00000, score = -0.00087
sigma = 1.00000, lambda = 100000.00000, score = -0.00009
sigma = 1.00000, lambda = 1000000.00000, score = -0.00001
sigma = 1.00000, lambda = 10000000.00000, score = -0.00000
sigma = 1.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 10.00000, lambda = 0.00100, score = 46.50411
sigma = 10.00000, lambda = 0.01000, score = -0.12516
sigma = 10.00000, lambda = 0.10000, score = -0.50003
sigma = 10.00000, lambda = 1.00000, score = -0.49991
sigma = 10.00000, lambda = 10.00000, score = -0.49507
sigma = 10.00000, lambda = 100.00000, score = -0.37035
sigma = 10.00000, lambda = 1000.00000, score = -0.08454
sigma = 10.00000, lambda = 10000.00000, score = -0.00957
sigma = 10.00000, lambda = 100000.00000, score = -0.00097
sigma = 10.00000, lambda = 1000000.00000, score = -0.00010
sigma = 10.00000, lambda = 10000000.00000, score = -0.00001
sigma = 10.00000, lambda = 100000000.00000, score = -0.00000
sigma = 10.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 100.00000, lambda = 0.00100, score = -0.49997
sigma = 100.00000, lambda = 0.01000, score = -0.49997
sigma = 100.00000, lambda = 0.10000, score = -0.49996
sigma = 100.00000, lambda = 1.00000, score = -0.49984
sigma = 100.00000, lambda = 10.00000, score = -0.49522
sigma = 100.00000, lambda = 100.00000, score = -0.37392
sigma = 100.00000, lambda = 1000.00000, score = -0.08669
sigma = 100.00000, lambda = 10000.00000, score = -0.00985
sigma = 100.00000, lambda = 100000.00000, score = -0.00100
sigma = 100.00000, lambda = 1000000.00000, score = -0.00010
sigma = 100.00000, lambda = 10000000.00000, score = -0.00001
sigma = 100.00000, lambda = 100000000.00000, score = -0.00000
